City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,58.37,92,100,11.86,CL,1682631840
1,constantia,44.1833,28.65,43.7,64,100,16.91,RO,1682631814
2,port-aux-francais,-49.35,70.2167,42.69,71,83,27.51,TF,1682631840
3,georgetown,5.4112,100.3354,80.53,94,20,0.0,MY,1682631840
4,la passe,45.5549,-0.8967,62.83,90,98,3.94,FR,1682631828
5,aasiaat,68.7098,-52.8699,25.97,90,19,3.67,GL,1682631841
6,adamstown,-25.066,-130.1015,74.95,65,100,5.08,PN,1682631841
7,waddan,29.1614,16.139,71.13,36,0,12.37,LY,1682631842
8,tanout,14.9709,8.8879,85.77,15,32,1.86,NE,1682631842
9,tiksi,71.6872,128.8694,14.11,89,13,2.51,RU,1682631843
10,grytviken,-54.2811,-36.5092,36.16,85,43,8.5,GS,1682631843
11,hermanus,-34.4187,19.2345,60.42,82,21,11.5,ZA,1682631577
12,pacific grove,36.6177,-121.9166,84.65,82,0,8.99,US,1682631834
13,blackmans bay,-43.0167,147.3167,57.33,90,5,8.79,AU,1682631815
14,port alfred,-33.5906,26.891,66.18,83,86,1.01,ZA,1682631796
15,bethel,41.3712,-73.414,56.64,78,75,11.5,US,1682631846
16,qarazhal,48.0078,70.7903,56.89,32,14,7.63,KZ,1682631847
17,villa angela,-27.5738,-60.7153,70.09,59,5,4.43,AR,1682631849
18,ilulissat,69.2167,-51.1,32.02,80,20,3.44,GL,1682631832
19,iskateley,67.6803,53.1512,24.96,83,99,9.51,RU,1682631850
20,cascavel,-24.9558,-53.4553,64.0,77,20,5.75,BR,1682631850
21,tazovsky,67.4667,78.7,19.54,92,100,7.18,RU,1682631571
22,ushuaia,-54.8,-68.3,44.22,65,40,23.02,AR,1682631852
23,iqaluit,63.7506,-68.5145,31.73,93,75,16.11,CA,1682631853
24,nuuk,64.1835,-51.7216,36.21,80,20,17.27,GL,1682631690
25,waitangi,-43.9535,-176.5597,54.82,76,98,3.0,NZ,1682631855
26,talnakh,69.4865,88.3972,9.21,97,93,3.29,RU,1682631803
27,puerto natales,-51.7236,-72.4875,38.93,93,82,4.97,CL,1682631857
28,kapa'a,22.0752,-159.319,80.58,66,0,10.36,US,1682631840
29,longyearbyen,78.2186,15.6401,28.24,80,100,12.66,SJ,1682631723
30,mili,6.0815,171.735,82.6,79,72,17.11,MH,1682631858
31,wongsorejo,-7.9908,114.4009,78.12,91,100,6.51,ID,1682631859
32,itoman,26.1247,127.6694,69.82,78,40,3.44,JP,1682631611
33,wailua homesteads,22.0669,-159.378,79.23,66,0,10.36,US,1682631861
34,gospic,44.5461,15.3747,42.49,83,57,3.33,HR,1682631861
35,avarua,-21.2078,-159.775,78.85,69,75,6.91,CK,1682631791
36,port mathurin,-19.6833,63.4167,78.78,81,94,14.07,MU,1682631862
37,inongo,-1.95,18.2667,72.46,88,68,4.52,CD,1682631862
38,la sarre,48.8002,-79.1996,43.77,74,100,8.14,CA,1682631863
39,nadi,-17.8,177.4167,84.2,79,40,9.22,FJ,1682631863
40,puerto ayora,-0.7393,-90.3518,85.96,86,61,7.0,EC,1682631864
41,west island,-12.1568,96.8225,80.58,89,75,12.66,CC,1682631807
42,edinburgh of the seven seas,-37.0676,-12.3116,62.33,78,87,13.87,SH,1682631865
43,bonthe,7.5264,-12.505,80.51,75,55,6.78,SL,1682631826
44,stanley,54.868,-1.6985,46.42,79,20,6.91,GB,1682631866
45,hawaiian paradise park,19.5933,-154.9731,81.91,72,40,13.8,US,1682631866
46,whitehorse,60.7161,-135.0538,45.1,48,40,12.66,CA,1682631851
47,acarau,-2.8856,-40.12,76.35,88,100,4.52,BR,1682631668
48,terbanggi besar,-4.8667,105.2333,74.39,91,99,1.74,ID,1682631867
49,kapuskasing,49.4169,-82.4331,41.0,81,100,14.97,CA,1682631868
50,sisimiut,66.9395,-53.6735,32.0,85,15,8.57,GL,1682631868
51,santiago juxtlahuaca,17.3333,-98.0167,80.94,24,13,10.67,MX,1682631869
52,albany,42.6001,-73.9662,60.93,44,43,3.0,US,1682631794
53,utrik,11.2278,169.8474,80.29,83,60,20.33,MH,1682631820
54,margaret river,-33.95,115.0667,54.45,72,90,5.28,AU,1682631872
55,ghadamis,30.1337,9.5007,80.35,14,0,8.86,LY,1682631873
56,weno,7.4515,151.8468,78.75,89,100,3.44,FM,1682631875
